B2004 Ari
C1001 Dito
D1001 Rama
C2002 Edi
B2001 Nita
C3002 Nia
A3002 Siti
B3003 Agung
D3004 Fifi
B1001 Wahyu
B3006 Rina
D3009 Agus
A3008 Irfan
D2002 Farhan
C3007 Indah
C3005 Sinta
A2003 Susi
A2004 Andi
D3005 Rian
A2001 Ani
B3009 Dwi
A3009 Nisa
A2002 Joko
D3008 Sari
C2005 Eka
A3005 Maya
A1001 Budi
B3004 Lia
D2005 Dewi
B2003 Rini
A3004 Rudi
C3009 Maya
B2005 Desi
A3006 Eko
C2003 Nindy
D2001 Tika
C2001 Sari
D3002 Dini
C3004 Nunu
B3005 Fajar
C3008 Rio
C3001 Andri
A3001 Adi
D3003 Rizal
B3002 Fitri
B3001 Bayu
B3007 Yoga
D3001 Dika
B3008 Dina
B2002 Agus
A3007 Dewi
C2004 Rizki
C3006 Yoga
D2004 Irfan
B3003 Agung
A2005 Rina
C3003 Bambang
D3006 Maya
D2003 Wulan
D3007 Bayu
